bird_id,colony,visit_count
K45947-PMOY,SPRA_35,2
K45947-PMOY,SPRA_38,88
K45947-PMOY,SPRA_39,45
K45956-MOOO,MSTO_28,713
K50343-MRWR,SPRA_03,5
K50343-MRWR,SPRA_38,203
K50349-MOWW,MSTO_29,760
K50384-MKWW,MSTO_29,574
K50395-MYYO,SPRA_03,1
K50395-MYYO,SPRA_08,38
K84503-MWOY,MSTO_29,473
K84514-MRWY,MSTO_29,792
K84525-MBBO,MSTO_29,878
K84537-MORB,MSTO_29,748
K84609-OMRW,SPRA_03,728
K84611-YMOR,SPRA_03,1702
K84615-RMRB,SPRA_03,1317
K84616-KMRR,SPRA_03,1213
K84618-WMKY,SPRA_03,478
K84620-OMYR,SPRA_03,558
K84623-BMBO,SPRA_03,746
K84624-KMOR,SPRA_03,278
K84624-KMOR,SPRA_35,242
K84624-KMOR,SPRA_40,220
K84625-OMWB,SPRA_03,509
K84632-RMKY,SPRA_03,56
K84635-BMOB,SPRA_03,724
K84636-KMYB,SPRA_03,632
K84638-RMWR,SPRA_03,2107
K84641-BMRO,SPRA_03,1080
K84642-KMBY,SPRA_03,4
K84643-OMKY,SPRA_03,774
K84649-KMKB,SPRA_03,2959
K84650-OMRB,SPRA_03,1720
K84652-WMOR,SPRA_03,544
K84654-BMOY,SPRA_35,1755
K84655-KMRB,SPRA_03,1
K84655-KMRB,SPRA_35,1431
K84659-YMOK,SPRA_03,1565
K84661-KMWB,SPRA_03,1281
K84662-OMRY,SPRA_35,1259
K84667-KMOY,SPRA_03,295
K84667-KMOY,SPRA_35,23
K84675-KMOB,SPRA_03,417
K84676-YMRO,SPRA_03,114
K84676-YMRO,SPRA_34,171
K84679-OMRO,SPRA_03,659
K84684-MBBY,MSTO_29,229
K88002-BMKY,SPRA_03,1
K88002-BMKY,SPRA_38,1
K88004-KKMR,SPRA_03,1464
K88006-MYOW,MSTO_28,1224
K88022-KMYR,SPRA_03,757
K88024-OMOY,SPRA_08,6
K88024-OMOY,SPRA_40,212
K88036-RMOK,SPRA_03,871
K88039-RMYK,SPRA_40,79
K88040-WMOY,LLOD_13,1
K88040-WMOY,SPRA_03,94
K88040-WMOY,SPRA_40,1090
K88057-OMWR,SPRA_38,1
K88057-OMWR,SPRA_39,30
K88057-OMWR,SPRA_40,50
L00307-MWRBB,MSTO_29,53
L00309-RRWRM,LLOD_14,1
L00310-WWWRM,LLOD_14,1
L00314-MWRWW,MSTO_29,153
L00315-MWRPP,MSTO_29,59
L00316-WRMOO,SPRA_03,81
L00318-WRMBK,SPRA_03,77
L00319-WRMBW,SPRA_03,30
L00320-WRMBB,SPRA_03,15
L00323-WRMWW,SPRA_03,3
L00324-WRMOK,SPRA_03,63
L00325-WRMWY,SPRA_03,4
L00326-WRMYP,SPRA_03,1
L00337-WRMKW,SPRA_35,87
L00339-WRMOW,SPRA_38,1
L00348-WRMPK,SPRA_40,14
L00349-WRMRW,SPRA_40,16
L00355-OWPM,LLOD_11,8
XL1402-MOOP,MSTO_28,1087
XL1403-MYYP,LLOD_12,785
XL1414-PMKB,MSTO_29,1
XL1415-WMBY,SPRA_38,427
XL1420-PMWR,SPRA_03,701
XL1421-BMWP,SPRA_03,877
XL1427-PMRW,SPRA_03,481
XL1427-PMRW,SPRA_35,1
XL1429-PMKW,SPRA_38,880
XL1431-BMBP,SPRA_38,795
XL1432-OMKP,SPRA_38,796
XL1433-PMBR,SPRA_38,849
XL1437-RMBW,SPRA_38,293
