bird_id,colony,visit_count
K45956-MOOO,MSTO_30,834
K50349-MOWW,MSTO_28,2
K50349-MOWW,MSTO_29,2
K84503-MWOY,MSTO_29,712
K84525-MBBO,MSTO_28,1
K84525-MBBO,MSTO_29,3
K84636-KMYB,SPRA_42,125
K84650-OMRB,SPRA_02,12
K84650-OMRB,SPRA_08,173
K84650-OMRB,SPRA_35,1
K84650-OMRB,SPRA_52,3
K84652-WMOR,SPRA_02,765
K84654-BMOY,SPRA_08,272
K84654-BMOY,SPRA_35,210
K84654-BMOY,SPRA_50,4
K84654-BMOY,SPRA_52,42
K84659-YMOK,SPRA_35,2
K84659-YMOK,SPRA_41,31
K84659-YMOK,SPRA_42,3
K84662-OMRY,SPRA_08,2
K84662-OMRY,SPRA_35,185
K84662-OMRY,SPRA_52,372
K84676-YMRO,SPRA_42,982
K88006-MYOW,MSTO_28,757
K88040-WMOY,SPRA_42,856
L00105-MOWP,MSTO_29,234
L00108-MRPW,MSTO_29,1084
L00113-YGMKW,SPRA_42,337
L00113-YGMKW,SPRA_52,4
L00114-YGMYB,SPRA_42,127
L00115-YGMRO,SPRA_42,253
L00118-YGMWY,SPRA_42,774
L00127-YGMBY,SPRA_42,501
L00128-YGMWK,SPRA_42,266
L00129-YGMRB,SPRA_42,28
L00131-R_MYG,SPRA_42,184
L00132-YGMKY,SPRA_42,270
L00137-YGMYK,SPRA_42,357
L00141-YGMYP,SPRA_02,968
L00141-YGMYP,SPRA_42,4
L00142-YGMOK,SPRA_42,187
L00146-YBBM,LLOD_10,4
L00146-YBBM,LLOD_37,191
L00148-KRPM,LLOD_37,90
L00151-GYMYG,SPRA_02,523
L00151-GYMYG,SPRA_52,2
L00152-YGMKO,SPRA_02,154
L00152-YGMKO,SPRA_42,3
L00153-YGMBP,SPRA_42,243
L00154-YGMKB,SPRA_02,1
L00154-YGMKB,SPRA_42,266
L00156-YGMRP,SPRA_42,241
L00163-MRWP,MSTO_28,4
L00163-MRWP,MSTO_29,262
L00163-MRWP,MSTO_30,110
L00163-MRWP,MSTO_35,2
L00164-PMBO,SPRA_08,4
L00164-PMBO,SPRA_35,318
L00164-PMBO,SPRA_41,1
L00164-PMBO,SPRA_42,2
L00164-PMBO,SPRA_50,11
L00164-PMBO,SPRA_51,2
L00164-PMBO,SPRA_52,9
L00164-PMBO,SPRA_53,3
L00165-PPPM,LLOD_10,382
L00165-PPPM,LLOD_34,19
L00166-OPOM,LLOD_10,124
L00167-BPPM,LLOD_10,180
L00168-POPM,LLOD_10,571
L00168-POPM,LLOD_34,1
L00169-PWPM,LLOD_10,212
L00171-BPKM,LLOD_05,132
L00172-PRYM,LLOD_05,90
L00173-POWM,LLOD_05,100
L00174-YPOM,LLOD_04,406
L00175-OPRM,LLOD_05,873
L00176-OBPM,LLOD_05,222
L00177-YPYM,LLOD_04,1
L00177-YPYM,LLOD_05,376
L00178-YPWM,LLOD_05,19
L00178-YPWM,LLOD_10,4
L00178-YPWM,LLOD_37,1
L00179-KPRM,LLOD_05,367
L00180-KKKM,LLOD_05,390
L00181-POOM,LLOD_05,822
L00182-WBPM,LLOD_05,277
L00183-OPBM,LLOD_04,1
L00183-OPBM,LLOD_05,138
L00184-PBWM,LLOD_05,17
L00184-PBWM,LLOD_39,1
L00184-PBWM,LLOD_40,4
L00184-PBWM,LLOD_41,49
L00185-RPKM,LLOD_05,307
L00185-RPKM,LLOD_10,6
L00185-RPKM,MSTO_28,1
L00186-PPYM,LLOD_05,222
L00187-GRGM,LLOD_10,357
L00187-GRGM,LLOD_34,32
L00188-WGBM,LLOD_10,85
L00188-WGBM,LLOD_34,97
L00189-YMBP,SPRA_42,754
L00190-YMKP,SPRA_02,3
L00190-YMKP,SPRA_41,2
L00190-YMKP,SPRA_42,408
L00191-PMKO,SPRA_42,229
L00192-GYWM,LLOD_05,874
L00193-WBGM,LLOD_10,85
L00194-PWRM,LLOD_36,26
L00196-WOGM,LLOD_36,121
L00197-YGOM,LLOD_36,20
L00198-MPOR,MSTO_29,2
L00199-YWGM,LLOD_38,193
L00199-YWGM,LLOD_40,27
L00200-BGRM,LLOD_04,4
L00200-BGRM,LLOD_38,56
L00200-BGRM,LLOD_39,1
L00301-WRMKO,SPRA_42,488
L00302-WRMKK,SPRA_42,396
L00307-MWRBB,MSTO_30,772
L00318-WRMBK,SPRA_42,406
L00321-WRMKR,SPRA_42,425
L00327-MWRWY,MSTO_29,553
L00329-MWROW,MSTO_29,42
L00329-MWROW,MSTO_35,146
L00332-MWRRY,SPRA_42,377
L00334-WRMOR,LLOD_38,1
L00334-WRMOR,LLOD_40,892
L00337-WRMKW,SPRA_08,1196
L00337-WRMKW,SPRA_35,4
L00337-WRMKW,SPRA_52,10
L00338-WRMOY,SPRA_42,1
L00341-WRMPW,SPRA_42,1053
L00350-MWRRK,MSTO_28,4
L00350-MWRRK,MSTO_29,562
L00353-WRMYO,SPRA_42,271
L00354-WRMPO,SPRA_08,1
L00354-WRMPO,SPRA_42,481
L00361-MKWR,MSTO_29,527
L00362-MWOP,MSTO_29,307
L00363-MKWY,MSTO_28,2
L00363-MKWY,MSTO_29,28
L00363-MKWY,MSTO_35,112
L00364-MYKW,SPRA_35,1
L00364-MYKW,SPRA_42,217
L00364-MYKW,SPRA_52,1
L00365-MWYK,MSTO_29,215
L00366-MOOW,SPRA_41,2
L00366-MOOW,SPRA_42,884
L00367-MROW,MSTO_29,30
L00367-MROW,MSTO_30,2
L00367-MROW,MSTO_35,84
L00370-MOOB,MSTO_30,326
L00372-MROP,MSTO_30,1149
L00373-MKOP,MSTO_29,1
L00373-MKOP,MSTO_30,2594
L00374-MOBR,MSTO_28,1
L00374-MOBR,MSTO_29,46
L00374-MOBR,MSTO_31,1
L00375-MOYP,MSTO_29,81
L00376-MRBY,MSTO_28,3
L00376-MRBY,MSTO_29,220
L00377-MKYP,MSTO_28,5
L00377-MKYP,MSTO_29,1
L00377-MKYP,MSTO_30,286
L00377-MKYP,MSTO_31,74
L00381-MPYY,MSTO_29,521
L00382-MKKP,MSTO_28,350
L00382-MKKP,SPRA_42,4
L00383-BMRB,SPRA_08,720
L00383-BMRB,SPRA_35,3
L00383-BMRB,SPRA_52,1
L00384-RMYY,SPRA_35,171
L00384-RMYY,SPRA_52,260
L00385-WMOO,SPRA_02,283
L00386-WMRR,SPRA_02,171
L00386-WMRR,SPRA_35,1
L00386-WMRR,SPRA_50,21
L00386-WMRR,SPRA_52,1
L00388-RMKK,SPRA_08,602
L00388-RMKK,SPRA_35,7
L00388-RMKK,SPRA_52,1
L00390-YMYB,SPRA_42,57
L00391-BMOK,SPRA_42,211
L00392-WMYY,SPRA_42,96
L00394-YMYK,SPRA_42,620
L00397-OMOK,SPRA_08,7
L00397-OMOK,SPRA_35,362
L00397-OMOK,SPRA_52,254
L00398-YOPM,LLOD_39,409
L00398-YOPM,LLOD_40,116
L00501-GOKM,LLOD_38,75
