bird_id,colony,visit_count
K45906-MYYW,MSTO_03,2
K45906-MYYW,MSTO_21,30
K45906-MYYW,MSTO_24,1
K50340-MKKB,MSTO_04,9
K50340-MKKB,MSTO_20,7
K50340-MKKB,MSTO_21,225
K50343-MRWR,SPRA_01,8
K50343-MRWR,SPRA_06,1
K50343-MRWR,SPRA_08,1
K50344-MYBO,MSTO_10,1
K50344-MYBO,MSTO_23,112
K50344-MYBO,MSTO_25,10
K50347-MYOK,MSTO_04,214
K50347-MYOK,MSTO_20,168
K50347-MYOK,MSTO_24,446
K50349-MOWW,MSTO_01,1
K50349-MOWW,MSTO_04,446
K50349-MOWW,MSTO_20,25
K50349-MOWW,MSTO_21,286
K50349-MOWW,MSTO_24,29
K50351-MOWR,MSTO_04,328
K50352-MRBK,MSTO_04,108
K50352-MRBK,MSTO_21,1
K50352-MRBK,MSTO_24,204
K50353-MBRO,MSTO_04,37
K50353-MBRO,MSTO_19,1
K50353-MBRO,MSTO_24,46
K50353-MBRO,SPRA_08,1
K50353-MBRO,SPRA_15,11
K50355-MWOB,MSTO_18,421
K50356-MWBY,MSTO_03,11
K50356-MWBY,MSTO_05,84
K50356-MWBY,MSTO_21,3
K50357-MYOY,MSTO_18,204
K50358-MYRY,MSTO_19,785
K50359-MKOW,MSTO_03,2
K50359-MKOW,MSTO_19,969
K50360-MBOK,MSTO_10,1
K50360-MBOK,MSTO_18,1
K50360-MBOK,MSTO_19,376
K50362-MOBO,MSTO_18,1506
K50362-MOBO,MSTO_21,4
K50363-MRRO,MSTO_19,1145
K50364-MYYY,MSTO_03,467
K50365-MWWO,MSTO_03,1027
K50365-MWWO,MSTO_17,1
K50365-MWWO,MSTO_19,8
K50366-MOKW,MSTO_03,1347
K50368-MBKB,MSTO_01,1
K50368-MBKB,MSTO_03,1081
K50371-MOYB,MSTO_01,5
K50371-MOYB,MSTO_03,1007
K50371-MOYB,MSTO_18,1
K50372-MORK,MSTO_03,1372
K50372-MORK,MSTO_04,1
K50373-MYWY,MSTO_01,1
K50373-MYWY,MSTO_03,314
K50374-MWWB,MSTO_03,224
K50376-MKBO,MSTO_03,4
K50376-MKBO,MSTO_04,448
K50376-MKBO,MSTO_18,8
K50376-MKBO,MSTO_19,16
K50376-MKBO,MSTO_21,1078
K50378-MOOR,MSTO_03,1
K50378-MOOR,MSTO_04,605
K50378-MOOR,MSTO_19,8
K50378-MOOR,MSTO_21,623
K50379-MBYB,MSTO_03,1
K50379-MBYB,MSTO_04,2
K50379-MBYB,MSTO_05,152
K50379-MBYB,MSTO_19,6
K50380-MOKB,MSTO_03,2
K50380-MOKB,MSTO_04,4
K50380-MOKB,MSTO_05,649
K50380-MOKB,MSTO_19,13
K50381-MYYK,MSTO_01,2
K50381-MYYK,MSTO_04,6
K50381-MYYK,MSTO_18,1038
K50381-MYYK,MSTO_21,5
K50384-MKWW,MSTO_04,1782
K50384-MKWW,MSTO_21,12
K50385-MKKY,MSTO_03,1
K50385-MKKY,MSTO_04,866
K50385-MKKY,MSTO_21,7
K50386-MOYO,MSTO_04,164
K50386-MOYO,MSTO_21,3
K50389-MKRK,MSTO_01,1
K50389-MKRK,MSTO_03,453
K50389-MKRK,MSTO_05,270
K50389-MKRK,MSTO_19,3
K50391-MYOO,MSTO_03,488
K50391-MYOO,MSTO_19,3
K50392-MYRB,MSTO_03,1
K50392-MYRB,MSTO_19,329
K50394-MWRW,MSTO_03,2
K50394-MWRW,MSTO_04,314
K50394-MWRW,MSTO_18,7
K50394-MWRW,MSTO_19,12
K50394-MWRW,MSTO_21,291
K50395-MYYO,SPRA_18,2
K50395-MYYO,SPRA_19,26
K50396-MWYY,MSTO_03,1
K50396-MWYY,MSTO_18,474
K50397-MOBY,MSTO_03,135
K50397-MOBY,MSTO_05,118
K50398-MKOK,MSTO_04,528
K50398-MKOK,MSTO_21,15
K50400-MBRR,MSTO_01,867
K50400-MBRR,MSTO_03,1
K56558-MKWO,MSTO_01,95
K56558-MKWO,MSTO_04,1
K56558-MKWO,MSTO_10,66
K56558-MKWO,MSTO_19,1
K56558-MKWO,MSTO_21,13
K56558-MKWO,MSTO_22,139
K56558-MKWO,MSTO_23,145
K84503-MWOY,MSTO_01,330
K84504-MYWO,MSTO_01,1287
K84506-MBWB,MSTO_01,534
K84507-MKYY,SPRA_05,3
K84507-MKYY,SPRA_10,130
K84507-MKYY,SPRA_15,4
K84507-MKYY,SPRA_17,2
K84507-MKYY,SPRA_23,497
K84508-MBWK,MSTO_01,34
K84508-MBWK,MSTO_17,18
K84509-MBRY,MSTO_01,247
K84509-MBRY,MSTO_17,153
K84510-MRYO,MSTO_01,197
K84511-MOWK,MSTO_01,635
K84511-MOWK,MSTO_03,5
K84511-MOWK,MSTO_04,2
K84513-MYBK,MSTO_01,28
K84513-MYBK,MSTO_17,97
K84514-MRWY,MSTO_01,214
K84515-MWBK,MSTO_01,1
K84515-MWBK,MSTO_25,4
K84518-MWRB,MSTO_01,729
K84518-MWRB,MSTO_03,1
K84520-MYYB,MSTO_01,709
K84521-MKYO,MSTO_01,496
K84522-MBKO,MSTO_01,2476
K84525-MBBO,MSTO_04,145
K84525-MBBO,MSTO_20,6
