bird_id,colony,visit_count
K45947-MXOY,SPRA_21,1
K45947-MXOY,SPRA_32,503
K45947-MXOY,SPRA_38,74
K45956-MOOO,MSTO_28,731
K50344-MYBO,MSTO_27,171
K50349-MOWW,MSTO_03,3
K50349-MOWW,MSTO_04,52
K50349-MOWW,MSTO_26,1033
K50384-MKWW,MSTO_03,265
K50384-MKWW,MSTO_04,177
K50386-MOYO,MSTO_04,40
K50395-MYYO,SPRA_18,317
K50395-MYYO,SPRA_31,3
K50398-MKOK,MSTO_03,48
K50398-MKOK,MSTO_04,21
K50398-MKOK,MSTO_26,141
K84503-MWOY,MSTO_26,1256
K84506-MBWB,MSTO_03,125
K84506-MBWB,MSTO_04,767
K84506-MBWB,MSTO_26,1
K84508-MBWK,MSTO_03,26
K84508-MBWK,MSTO_04,7
K84508-MBWK,MSTO_26,221
K84514-MRWY,MSTO_26,1487
K84525-MBBO,MSTO_03,2
K84525-MBBO,MSTO_04,39
K84525-MBBO,MSTO_26,249
K84535-MOKR,MSTO_26,1211
K84537-MORB,MSTO_26,1660
K84541-MKRO,MSTO_27,225
K84574-MKBR,MSTO_27,49
K84576-MKBB,MSTO_28,773
K84605-OMOW,SPRA_03,100
K84605-OMOW,SPRA_24,111
K84609-OMRW,SPRA_03,920
K84611-YMOR,SPRA_03,500
K84613-BMWY,SPRA_03,644
K84614-OMOB,SPRA_08,630
K84615-RMRB,SPRA_03,477
K84616-KMRR,SPRA_03,798
K84617-RMYW,SPRA_06,61
K84617-RMYW,SPRA_13,338
K84618-WMKY,SPRA_03,464
K84619-YMKR,SPRA_33,1
K84619-YMKR,SPRA_34,505
K84619-YMKR,SPRA_38,181
K84620-OMYR,SPRA_03,603
K84620-OMYR,SPRA_05,28
K84620-OMYR,SPRA_08,128
K84620-OMYR,SPRA_37,468
K84622-KMRW,SPRA_05,17
K84622-KMRW,SPRA_17,1029
K84622-KMRW,SPRA_35,2
K84623-BMBO,SPRA_05,28
K84623-BMBO,SPRA_17,236
K84623-BMBO,SPRA_37,620
K84624-KMOR,SPRA_03,1
K84624-KMOR,SPRA_05,1
K84624-KMOR,SPRA_06,3
K84624-KMOR,SPRA_08,566
K84624-KMOR,SPRA_23,42
K84624-KMOR,SPRA_26,249
K84625-OMWB,SPRA_03,15
K84625-OMWB,SPRA_06,3
K84625-OMWB,SPRA_08,1281
K84625-OMWB,SPRA_13,2
K84626-RMBK,SPRA_03,696
K84626-RMBK,SPRA_05,10
K84626-RMBK,SPRA_08,636
K84626-RMBK,SPRA_18,1
K84626-RMBK,SPRA_24,1
K84626-RMBK,SPRA_26,3
K84626-RMBK,SPRA_35,1
K84626-RMBK,SPRA_37,2
K84627-WMKO,SPRA_08,284
K84632-RMKY,SPRA_03,502
K84633-WMYR,SPRA_05,17
K84633-WMYR,SPRA_17,740
K84633-WMYR,SPRA_37,3
K84635-BMOB,SPRA_03,368
K84636-KMYB,SPRA_03,235
K84637-OMRK,SPRA_03,123
K84637-OMRK,SPRA_05,1
K84637-OMRK,SPRA_08,429
K84637-OMRK,SPRA_23,40
K84637-OMRK,SPRA_26,501
K84638-RMWR,SPRA_03,1164
K84638-RMWR,SPRA_32,2
K84641-BMRO,SPRA_03,437
K84642-KMBY,SPRA_03,1243
K84643-OMKY,SPRA_03,451
K84648-YMBK,SPRA_03,228
K84648-YMBK,SPRA_23,1
K84649-KMKB,SPRA_03,527
K84649-KMKB,SPRA_23,93
