colony,total_visits
MSTO_01,11745
MSTO_03,8744
MSTO_04,6181
MSTO_05,1362
MSTO_10,6528
MSTO_17,270
MSTO_18,3944
MSTO_19,4084
MSTO_20,360
MSTO_21,3044
MSTO_22,1431
MSTO_23,669
MSTO_24,1205
MSTO_25,255
SPRA_01,6159
SPRA_02,2438
SPRA_05,4598
SPRA_06,2416
SPRA_07,460
SPRA_08,11197
SPRA_09,3203
SPRA_10,876
SPRA_11,6873
SPRA_12,8022
SPRA_13,5856
SPRA_14,665
SPRA_15,1776
SPRA_16,791
SPRA_17,2907
SPRA_18,895
SPRA_19,196
SPRA_20,193
SPRA_21,829
SPRA_22,319
SPRA_23,1548
SPRA_24,835
SPRA_25,76
