bird_id,colony,visit_count
L00393-RMOP,SPRA_34,322
L00393-RMOP,SPRA_42,65
L00393-RMOP,SPRA_46,232
L00394-YMYK,SPRA_01,3
L00394-YMYK,SPRA_02,3
L00394-YMYK,SPRA_41,445
L00394-YMYK,SPRA_42,223
L00395-BMRY,SPRA_09,28
L00395-BMRY,SPRA_35,37
L00396-OMWW,SPRA_09,225
L00396-OMWW,SPRA_35,7
L00396-OMWW,SPRA_42,20
L00397-OMOK,SPRA_01,2
L00397-OMOK,SPRA_09,829
L00397-OMOK,SPRA_35,40
L00397-OMOK,SPRA_41,2
L00397-OMOK,SPRA_42,3
L00399-KOBM,SPRA_42,267
L00400-BRBM,LLOD_12,5
L00400-BRBM,LLOD_17,68
L00401-KYYM,LLOD_12,8
L00401-KYYM,LLOD_17,52
L00402-BYBM,LLOD_12,40
L00402-BYBM,LLOD_17,194
L00403-OWRM,LLOD_04,3
L00403-OWRM,LLOD_05,443
L00404-OYWM,LLOD_12,50
L00404-OYWM,LLOD_17,368
L00405-ROOM,LLOD_05,1
L00405-ROOM,LLOD_12,30
L00405-ROOM,LLOD_17,186
L00405-ROOM,SPRA_34,2
L00405-ROOM,SPRA_42,1811
L00406-OYRM,LLOD_20,6
L01403-OWRM,LLOD_04,5
L01403-OWRM,LLOD_05,36
L01411-WWKM,LLOD_12,14
L01411-WWKM,LLOD_17,178
L01412-YGMRR,SPRA_42,374
L01413-YGMOO,SPRA_42,181
L01414-YGMWW,SPRA_42,1092
L01415-YGMYR,SPRA_02,33
L01416-YGMYW,SPRA_02,229
L01416-YGMYW,SPRA_42,16
L01417-YGMYY,SPRA_01,1
L01417-YGMYY,SPRA_02,88
L01417-YGMYY,SPRA_42,7
L01418-RMOB,SPRA_34,187
L01418-RMOB,SPRA_42,341
L01418-RMOB,SPRA_46,334
L01419-KMYY,SPRA_34,327
L01419-KMYY,SPRA_42,1
L01419-KMYY,SPRA_46,290
L01420-OMRR,MSTO_29,6
L01420-OMRR,SPRA_01,3
L01420-OMRR,SPRA_02,4
L01420-OMRR,SPRA_34,138
L01420-OMRR,SPRA_42,12
L01420-OMRR,SPRA_46,120
L01421-YMWW,SPRA_34,303
L01421-YMWW,SPRA_42,38
L01421-YMWW,SPRA_46,299
L01422-KMWR,SPRA_34,1602
L01422-KMWR,SPRA_42,18
L01422-KMWR,SPRA_46,78
L01423-RMWO,SPRA_34,1477
L01423-RMWO,SPRA_42,21
L01423-RMWO,SPRA_46,84
L01424-MORP,MSTO_28,379
L01424-MORP,MSTO_30,7
L01425-YGMOY,SPRA_01,2
L01425-YGMOY,SPRA_09,163
L01425-YGMOY,SPRA_35,11
L01425-YGMOY,SPRA_42,13
L01427-RWYGM,LLOD_04,80
L01427-RWYGM,LLOD_05,43
