colony,total_visits
MSTO_01,4233
MSTO_02,715
MSTO_03,7696
MSTO_04,36945
MSTO_05,16199
MSTO_06,3055
MSTO_07,1739
MSTO_08,6843
MSTO_09,19099
MSTO_10,3667
MSTO_11,13728
MSTO_12,2245
MSTO_13,4224
MSTO_14,3762
MSTO_15,1
MSTO_17,2
