colony,total_visits
LLOD_04,1773
LLOD_05,19064
LLOD_10,2218
LLOD_34,883
LLOD_36,313
LLOD_37,347
LLOD_38,683
LLOD_39,1618
LLOD_40,13052
LLOD_41,219
MSTO_28,1622
MSTO_29,8239
MSTO_30,7549
MSTO_31,238
MSTO_35,345
SPRA_02,7059
SPRA_08,2982
SPRA_35,1580
SPRA_41,675
SPRA_42,35995
SPRA_50,235
SPRA_51,107
SPRA_52,1263
SPRA_53,502
