colony,total_visits
LLOD_04,11887
LLOD_05,18735
LLOD_06,4
LLOD_12,211
LLOD_17,2261
LLOD_20,8271
MSTO_28,8666
MSTO_29,2030
MSTO_30,2042
MSTO_31,1004
MSTO_34,361
SPRA_01,9889
SPRA_02,14441
SPRA_09,3717
SPRA_34,8053
SPRA_35,512
SPRA_41,1541
SPRA_42,104075
SPRA_46,3712
SPRA_49,686
