colony,total_visits
MSTO_03,572
MSTO_04,1105
MSTO_26,9041
MSTO_27,1583
MSTO_28,2380
SPRA_03,19085
SPRA_05,109
SPRA_06,2555
SPRA_08,4483
SPRA_12,1702
SPRA_13,2463
SPRA_17,5293
SPRA_18,1916
SPRA_19,4960
SPRA_20,1045
SPRA_21,4691
SPRA_22,966
SPRA_23,254
SPRA_24,368
SPRA_26,2008
SPRA_27,704
SPRA_28,3730
SPRA_30,435
SPRA_31,296
SPRA_32,4315
SPRA_33,335
SPRA_34,6092
SPRA_35,1273
SPRA_36,3
SPRA_37,1096
SPRA_38,1853
